Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,season,Name
33,33,1/11/2005,20-012,CLE,CHA,1,49:00:00,11,24,0.458,2,5,0.4,5,7,0.714,1,7,8,9,2,1,8,1,29,19.2,season_2,LJ
34,34,1/13/2005,20-014,CLE,LAL,1,44:00:00,12,26,0.462,1,4,0.25,3,4,0.75,3,10,13,9,1,1,4,1,28,22.9,season_2,LJ
35,35,1/15/2005,20-016,CLE,UTA,1,41:00:00,9,20,0.45,0,1,0,9,14,0.643,1,7,8,5,5,0,3,2,27,22.1,season_2,LJ
36,36,1/16/2005,20-017,CLE,SEA,1,44:00:00,14,30,0.467,3,7,0.429,4,6,0.667,2,3,5,11,4,1,1,4,35,30.9,season_2,LJ
37,37,1/19/2005,20-020,CLE,POR,1,44:00:00,11,16,0.688,1,1,1,4,6,0.667,1,10,11,10,4,0,2,4,27,30.5,season_2,LJ
38,38,1/20/2005,20-021,CLE,SAC,1,37:00:00,9,19,0.474,0,1,0,0,1,0,1,7,8,6,1,0,3,0,18,12.9,season_2,LJ
39,39,1/22/2005,20-023,CLE,GSW,1,43:00:00,13,24,0.542,0,1,0,2,2,1,1,11,12,10,1,1,3,1,28,25.7,season_2,LJ
40,40,1/24/2005,20-025,CLE,WAS,1,48:00:00,12,26,0.462,1,1,1,6,10,0.6,4,6,10,8,2,1,5,3,31,22.7,season_2,LJ
41,41,1/26/2005,20-027,CLE,MEM,1,42:00:00,10,16,0.625,4,6,0.667,3,4,0.75,1,8,9,15,3,2,5,1,27,32,season_2,LJ
42,42,2/1/2005,20-033,CLE,ORL,1,43:00:00,10,20,0.5,0,3,0,8,13,0.615,2,3,5,7,0,1,3,2,28,20.1,season_2,LJ
43,43,2/3/2005,20-035,CLE,MIA,1,46:00:00,11,23,0.478,1,3,0.333,8,12,0.667,2,0,2,10,3,0,2,2,31,26.3,season_2,LJ
44,44,2/5/2005,20-037,CLE,ORL,1,45:00:00,9,21,0.429,0,3,0,12,13,0.923,0,6,6,9,2,0,1,2,30,26.8,season_2,LJ
45,45,2/8/2005,20-040,CLE,TOR,1,36:00:00,6,14,0.429,0,3,0,3,4,0.75,1,7,8,11,3,0,2,1,15,18.3,season_2,LJ
